INFO: This file was generated by AlgTest utility. See http://www.fi.muni.cz/~xsvenda/jcsupport.html for more results, source codes and other details.,,,,,,
Tested and provided by,Ed Everett,,,,,,
Execution date/time, 2025/02/08 18:12:51,,,,,,
AlgTestJClient version, 1.8.2,,,,,,
AlgTest applet version, 1.8.2_jc304,,,,,,
Used reader, ACS ACR39U ICC Reader 00 00,,,,,,
Card ATR, 3b 69 00 02 41 43 4f 53 4a 76 32 30 37,,,,,,
Card name, ACS ACOSJ-G 95K v2.0.7 Combi,,,,,,
Card provider,https://www.smartcardfocus.com/shop/ilp/id~862/acosj-dual-interface-java-card-95k/p/index.shtml,,,,,,
Used protocol, T=0,,,,,,
High-power mode supported (relevant only to SIM cards according to ETSI 102 221), no,,,,,,
,,,,,,,
JCSystem.getVersion()[Major.Minor],3,,,,,,
JCSystem.isObjectDeletionSupported,yes,,,,,,
JCSystem.MEMORY_TYPE_PERSISTENT,75686B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_RESET,1356B,,,,,,
JCSystem.MEMORY_TYPE_TRANSIENT_DESELECT,2496B,,,,,,
,,,,,,,
JCSystem.getMaxCommitCapacity(),7104B,,,,,,
APDU.getInBlockSize(),1B,,,,,,
APDU.getOutBlockSize(),258B,,,,,,
APDU.getProtocol(),0B,,,,,,
APDU.getNAD(),0B,,,,,,
CPLC, failed to obtain CPLC,,,,,,
GPDATA (Card data), 66 4c 73 4a 06 07 2a 86 48 86 fc 6b 01 60 0c 06 0a 2a 86 48 86 fc 6b 02 02 02 01 63 09 06 07 2a 86 48 86 fc 6b 03 64 0b 06 09 2a 86 48 86 fc 6b 04 02 55 65 0b 06 09 2a 86 48 86 fc 6b 02 01 03 66 0c 06 0a 2b 06 01 04 01 2a 02 6e 01 03,,,,,,
,,,,,,,
algorithm_name, is_supported, time_elapsed, persistent_mem_allocated, ram_deselect_allocated, ram_reset_allocated,,
,,,,,,,
javacard.security.MessageDigest,,,,,,,
ALG_SHA,yes,,,0.194,20,1,0
ALG_MD5,yes,,,0.179,16,1,0
ALG_RIPEMD160,no,,,0.064,0,0,0
ALG_SHA_256,yes,,,0.204,20,1,0
ALG_SHA_384,yes,,,0.194,20,1,0
ALG_SHA_512,yes,,,0.198,20,1,0
ALG_SHA_224,yes,,,0.194,20,1,0
ALG_SHA3_224,no,,,0.065,0,0,0
ALG_SHA3_256,no,,,0.059,0,0,0
ALG_SHA3_384,no,,,0.061,0,0,0
ALG_SHA3_512,no,,,0.059,0,0,0
ALG_SM3,no,,,0.062,0,0,0
ALG_NULL,no,,,0.059,0,0,0
,,,,,,,
javacard.security.RandomData,,,,,,,
ALG_PSEUDO_RANDOM,yes,,,0.072,0,0,0
ALG_SECURE_RANDOM,yes,,,0.066,0,0,0
ALG_TRNG,no,,,0.059,0,0,0
ALG_ALG_PRESEEDED_DRBG,no,,,0.061,0,0,0
ALG_FAST,no,,,0.059,0,0,0
ALG_KEYGENERATION,no,,,0.062,0,0,0
,,,,,,,
javacard.security.KeyBuilder,,,,,,,
TYPE_DES_TRANSIENT_RESET,yes,,,0.246,42,0,1
TYPE_DES_TRANSIENT_DESELECT,yes,,,0.242,42,1,0
TYPE_DES LENGTH_DES,yes,,,0.234,41,0,0
TYPE_DES LENGTH_DES3_2KEY,yes,,,0.242,49,0,0
TYPE_DES LENGTH_DES3_3KEY,yes,,,0.243,57,0,0
TYPE_AES_TRANSIENT_RESET,yes,,,0.25,49,0,1
TYPE_AES_TRANSIENT_DESELECT,yes,,,0.25,49,1,0
TYPE_AES LENGTH_AES_128,yes,,,0.244,48,0,0
TYPE_AES LENGTH_AES_192,yes,,,0.235,56,0,0
TYPE_AES LENGTH_AES_256,yes,,,0.236,64,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_512,yes,,,0.253,161,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_736,yes,,,0.265,217,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_768,yes,,,0.239,225,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_896,yes,,,0.251,257,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1024,yes,,,0.259,289,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1280,yes,,,0.259,353,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1536,yes,,,0.254,417,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_1984,yes,,,0.269,529,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_2048,yes,,,0.261,545,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_3072,no,,,0.109,17,0,0
TYPE_RSA_PUBLIC LENGTH_RSA_4096,no,,,0.105,17,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_512,yes,,,0.309,169,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_736,yes,,,0.306,225,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_768,yes,,,0.306,233,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_896,yes,,,0.305,265,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1024,yes,,,0.31,297,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1280,yes,,,0.304,361,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1536,yes,,,0.319,425,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_1984,yes,,,0.304,537,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_2048,yes,,,0.31,553,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_3072,no,,,0.115,17,0,0
TYPE_RSA_PRIVATE LENGTH_RSA_4096,no,,,0.109,17,0,0
TYPE_RSA_PRIVATE_TRANSIENT_RESET,yes,,,0.305,298,0,1
TYPE_RSA_PRIVATE_TRANSIENT_DESELECT,yes,,,0.322,298,1,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_512,yes,,,0.537,307,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_736,yes,,,0.555,405,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_768,yes,,,0.571,419,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_896,yes,,,0.565,475,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1024,yes,,,0.56,531,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1280,yes,,,0.572,643,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1536,yes,,,0.589,755,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_1984,yes,,,0.59,951,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_2048,yes,,,0.595,979,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_3072,no,,,0.109,27,0,0
TYPE_RSA_CRT_PRIVATE LENGTH_RSA_4096,no,,,0.11,27,0,0
TYPE_RSA_CRT_PRIVATE_TRANSIENT_RESET,yes,,,0.572,532,0,1
TYPE_RSA_CRT_PRIVATE_TRANSIENT_DESELECT,yes,,,0.577,532,1,0
TYPE_DSA_PRIVATE LENGTH_DSA_512,no,,,0.068,0,0,0
TYPE_DSA_PRIVATE LENGTH_DSA_768,no,,,0.063,0,0,0
TYPE_DSA_PRIVATE LENGTH_DSA_1024,no,,,0.065,0,0,0
TYPE_DSA_PRIVATE_TRANSIENT_RESET,no,,,0.063,0,0,0
TYPE_DSA_PRIVATE_TRANSIENT_DESELECT,no,,,0.066,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_512,no,,,0.063,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_768,no,,,0.065,0,0,0
TYPE_DSA_PUBLIC LENGTH_DSA_1024,no,,,0.067,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_113,no,,,0.065,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_131,no,,,0.067,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_163,no,,,0.062,0,0,0
TYPE_EC_F2M_PRIVATE LENGTH_EC_F2M_193,no,,,0.065,0,0,0
TYPE_EC_F2M_PRIVATE_TRANSIENT_RESET,no,,,0.062,0,0,0
TYPE_EC_F2M_PRIVATE_TRANSIENT_DESELECT,no,,,0.066,0,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_112,yes,,,0.509,184,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_128,yes,,,0.504,198,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_160,yes,,,0.517,226,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_192,yes,,,0.512,254,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_224,yes,,,0.509,282,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_256,yes,,,0.521,310,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_320,no,,,0.122,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_384,yes,,,0.5,422,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_512,no,,,0.117,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_521,no,,,0.108,41,0,0
TYPE_EC_FP_PRIVATE LENGTH_EC_FP_640,no,,,0.115,41,0,0
TYPE_EC_FP_PRIVATE_TRANSIENT_RESET,no,,,0.121,41,0,0
TYPE_EC_FP_PRIVATE_TRANSIENT_DESELECT,no,,,0.126,41,0,0
TYPE_KOREAN_SEED_TRANSIENT_RESET,yes,,,0.258,49,0,1
TYPE_KOREAN_SEED_TRANSIENT_DESELECT,yes,,,0.242,49,1,0
TYPE_KOREAN_SEED LENGTH_KOREAN_SEED_128,yes,,,0.237,48,0,0
TYPE_HMAC_TRANSIENT_RESET,no,,,0.065,0,0,0
TYPE_HMAC_TRANSIENT_DESELECT,no,,,0.066,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_1_BLOCK_64,no,,,0.063,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_256_BLOCK_64,no,,,0.066,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_384_BLOCK_64,no,,,0.063,0,0,0
TYPE_HMAC LENGTH_HMAC_SHA_512_BLOCK_64,no,,,0.066,0,0,0
,,,,,,,
javacard.security.KeyAgreement,,,,,,,
ALG_EC_SVDP_DH/ALG_EC_SVDP_DH_KDF,yes,,,0.117,9,0,0
ALG_EC_SVDP_DHC/ALG_EC_SVDP_DHC_KDF,yes,,,0.121,9,0,0
ALG_EC_SVDP_DH_PLAIN,yes,,,0.122,9,0,0
ALG_EC_SVDP_DHC_PLAIN,yes,,,0.121,9,0,0
ALG_EC_PACE_GM,no,,,0.064,0,0,0
ALG_EC_SVDP_DH_PLAIN_XY,no,,,0.062,0,0,0
ALG_DH_PLAIN,no,,,0.062,0,0,0
ALG_XDH,no,,,0.063,0,0,0
ALG_SM2,no,,,0.059,0,0,0
,,,,,,,
javacard.security.Checksum,,,,,,,
ALG_ISO3309_CRC16,yes,,,0.194,18,4,0
ALG_ISO3309_CRC32,yes,,,0.196,18,4,0
,,,,,,,
javacard.security.KeyPair ALG_RSA on-card generation,,,,,,,
